name,img,rating,price in lakhs,seater,battery_kWh,range_km,power_bhp,max_torque_nm,motor_power_kW,Battery Type,charging_port,drive_type,length_mm,width_mm,height_mm,brand,model,charging_time_hours,dc_charge_time_mins,dc_fast_charge_kw,body_type
Mahindra XEV 9e,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XEV-9e/9262/1755776058045/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,26.575,5,79.0,656,282.0,380.0,210.0,Lithium-Ion,CCS II,RWD,4789.0,1907.0,1694.0,Mahindra,XEV 9e,11.7,20.0,180.0,SUV
Mahindra BE 6,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/BE-6/9263/1762423834412/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,23.275,5,79.0,683,282.0,380.0,210.0,Lithium-Ion,CCS II,RWD,4371.0,1907.0,1627.0,Mahindra,BE 6,11.7,20.0,180.0,SUV
MG Windsor EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/Windsor-EV/11848/1755845275936/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,15.52,5,52.9,449,134.0,200.0,100.0,Lithium-Ion,CCS II,FWD,4295.0,2126.0,1677.0,MG,Windsor EV,9.5,50.0,60.0,MUV
Tata Harrier EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Harrier-EV/9564/1759821423250/front-left-side-47.jpg?impolicy=resize&imwidth=360,5.0,25.86,5,75.0,627,390.0,504.0,175.0,Lithium-Ion,CCS II,AWD,4607.0,1922.0,1740.0,Tata,Harrier EV,10.7,25.0,120.0,SUV
MG Cyberster,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/Cyberster/12221/1758802623039/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,75.0,2,77.0,580,503.0,725.0,305.8,Lithium-Ion,CCS II,AWD,4535.0,1913.0,1329.0,MG,Cyberster,8.156,24.4,202.0,Convertible
MG Comet EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/Comet-EV/11556/1755844102300/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,8.53,4,17.4,230,42.0,110.0,41.0,Lithium-Ion,Type 2,RWD,2974.0,1505.0,1640.0,MG,Comet EV,5.92,50.0,40.6,Hatchback
Tata Nexon EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Nexon-EV/11024/1755845297648/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.5,14.99,5,45.0,489,142.0,215.0,110.0,Lithium-Ion,CCS II,FWD,3995.0,1802.0,1625.0,Tata,Nexon EV,6.6,40.0,60.0,SUV
Tata Tiago EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tiago-EV/6279/1756119438947/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,9.565,5,24.0,315,73.75,114.0,55.0,Lithium-Ion,CCS II,FWD,3769.0,1677.0,1536.0,Tata,Tiago EV,3.6,58.0,25.0,Hatchback
Tata Punch EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Punch-EV/11449/1758280489205/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,12.215,5,35.0,421,120.69,190.0,90.0,Lithium-Ion,CCS II,FWD,3857.0,1742.0,1633.0,Tata,Punch EV,5.0,56.0,50.0,SUV
Vayve Mobility Eva,https://stimg.cardekho.com/images/carexteriorimages/630x420/Vayve-Mobility/Eva/9679/1737214352028/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,3.87,3,18.0,250,20.11,40.0,16.0,Lithium-Ion,CCS II,RWD,2950.0,1200.0,1590.0,Vayve,Mobility Eva,5.0,20.0,40.6,Hatchback
Kia EV6,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/EV6/11740/1760005604163/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,60.97,5,84.0,663,321.0,605.0,239.0,Lithium-Ion,CCS II,AWD,4695.0,1890.0,1570.0,Kia,EV6,10.663999999999998,18.0,350.0,SUV
BYD Atto 3,https://stimg.cardekho.com/images/carexteriorimages/630x420/BYD/Atto-3/11837/1738316695264/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.2,29.49,5,60.48,521,201.0,310.0,150.0,Lithium-Ion,CCS II,FWD,4455.0,1875.0,1615.0,BYD,Atto 3,10.0,50.0,80.0,SUV
MG M9,https://stimg.cardekho.com/images/carexteriorimages/630x420/MG/M9/12270/1758802685718/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,69.9,7,90.0,548,242.0,350.0,244.6,Lithium-Ion,CCS II,FWD,5200.0,2000.0,1800.0,MG,M9,11.146,24.8,252.0,MUV
Tata Curvv EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Curvv-EV/8935/1755844730329/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,19.865,5,55.0,502,165.0,215.0,123.0,Lithium-Ion,CCS II,FWD,4310.0,1810.0,1637.0,Tata,Curvv EV,7.9,40.0,70.0,SUV
MG ZS EV,https://stimg.cardekho.com/pwa/img/spacer3x2.png,4.2,19.245,5,50.3,461,174.33,280.0,129.0,Lithium-Ion,CCS II,FWD,4323.0,1809.0,1649.0,MG,ZS EV,9.0,60.0,50.0,SUV
VinFast VF6,https://stimg.cardekho.com/pwa/img/spacer3x2.png,4.6,17.39,5,59.6,468,201.15,310.0,150.0,Lithium-Ion,CCS II,FWD,4241.0,1834.0,1615.0,VinFast,VF6,7.985999999999999,25.0,74.0,SUV
Hyundai Creta Electric,https://stimg.cardekho.com/pwa/img/spacer3x2.png,4.8,21.285,5,51.4,510,169.0,255.0,126.0,Lithium-Ion,CCS II,FWD,4340.0,1790.0,1655.0,Hyundai,Creta Electric,4.83,58.0,50.0,SUV
BMW i7,https://stimg.cardekho.com/pwa/img/spacer3x2.png,4.4,231.5,5,101.7,625,650.39,1015.0,398.2,Lithium-Ion,CCS II,AWD,5391.0,1950.0,1544.0,BMW,i7,5.9,25.0,244.0,Sedan
Mahindra XUV400 EV,https://stimg.cardekho.com/pwa/img/spacer3x2.png,4.5,16.59,5,39.4,456,149.55,310.0,100.0,Lithium-Ion,CCS II,FWD,4200.0,1821.0,1634.0,Mahindra,XUV400 EV,6.5,50.0,50.0,SUV
BYD Seal,https://stimg.cardekho.com/images/carexteriorimages/630x420/BYD/Seal/9561/1738385175958/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,47.075,5,82.56,650,523.0,670.0,364.6,Lithium-Ion,CCS II,AWD,4800.0,1875.0,1460.0,BYD,Seal,9.216,26.4,240.0,Sedan
VinFast VF7,https://stimg.cardekho.com/images/carexteriorimages/630x420/VinFast/VF7/11253/1757156932606/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.1,23.19,5,70.0,532,348.66,500.0,260.0,Lithium-Ion,CCS II,AWD,4550.0,1893.0,1596.0,VinFast,VF7,9.803999999999998,25.0,186.0,SUV
Volvo EX30,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volvo/EX30/11539/1755870747156/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,39.99,5,69.0,480,272.0,343.0,142.4,Lithium-Ion,CCS II,RWD,4233.0,1838.0,1550.0,Volvo,EX30,7.986,26.0,150.0,SUV
BMW iX1,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/iX1/12364/1762778048040/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,49.9,5,66.4,531,204.0,250.0,150.0,Lithium-Ion,CCS II,FWD,4616.0,1845.0,1612.0,BMW,iX1,6.5,30.0,130.0,SUV
BYD Sealion 7,https://stimg.cardekho.com/images/carexteriorimages/630x420/BYD/Sealion-7/12273/1739793527016/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.9,51.9,5,82.56,567,523.0,690.0,390.0,Lithium-Ion,CCS II,AWD,4830.0,1925.0,1620.0,BYD,Sealion 7,8.35,24.0,230.0,SUV
Rolls-Royce Spectre,https://stimg.cardekho.com/images/carexteriorimages/630x420/Rolls-Royce/Spectre/11100/1705661590820/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,750.0,4,102.0,530,576.63,900.0,190.0,Lithium-Ion,CCS II,AWD,5475.0,2144.0,1573.0,Rolls-Royce,Spectre,5.9,25.0,244.0,Coupe
BMW i4,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/i4/9693/1762776805472/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,75.0,5,83.9,590,335.25,430.0,210.0,Lithium-Ion,CCS II,RWD,4783.0,2073.0,1448.0,BMW,i4,8.33,31.0,200.0,Sedan
Kia Carens Clavis EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/Carens-Clavis-EV/11650/1755866334119/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,21.24,7,51.4,490,169.0,255.0,126.0,Lithium-Ion,CCS II,FWD,4550.0,1800.0,1730.0,Kia,Carens Clavis EV,4.75,39.0,100.0,MUV
Tesla Model Y,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tesla/Model-Y/6390/1753873275226/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,66.89,5,71.0,661,295.0,420.0,220.0,Lithium-Ion,CCS II,RWD,4790.0,2129.0,1624.0,Tesla,Model Y,9.87,21.4,252.0,Sedan
BMW iX,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/iX/11610/1762777768268/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,140.0,5,111.5,575,516.29,765.0,240.0,Lithium-Ion,CCS II,AWD,4953.0,2230.0,1695.0,BMW,iX,5.5,35.0,195.0,SUV
Tata Tigor EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tigor-EV/9458/1755866201716/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.2,13.12,5,26.0,315,73.75,170.0,55.0,Lithium-Ion,CCS II,FWD,3993.0,1677.0,1532.0,Tata,Tigor EV,9.4,59.0,18.0,Sedan
Mercedes-Benz EQS SUV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQS-SUV/8970/1763532863673/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,140.5,7,122.0,820,536.4,858.0,400.0,Lithium-Ion,CCS II,AWD,5136.0,1965.0,1718.0,Mercedes-Benz,EQS SUV,7.9,29.0,251.0,SUV
Mercedes-Benz G-Class Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/G-Class-Electric/11502/1763533365029/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,310.0,5,116.0,473,579.0,1164.0,432.0,Lithium-Ion,CCS II,FWD,4863.0,2187.0,1983.0,Mercedes-Benz,G-Class Electric,11.7,32.0,200.0,SUV
Porsche Taycan,https://stimg.cardekho.com/images/carexteriorimages/630x420/Porsche/Taycan-2024/11515/1707404051019/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,219.5,5,93.4,705,872.0,650.0,399.4,Lithium-Ion,CCS II,AWD,4974.0,2144.0,1395.0,Porsche,Taycan,5.9,25.0,220.0,Sedan
Kia EV9,https://stimg.cardekho.com/images/carexteriorimages/630x420/Kia/EV9/9560/1755866894528/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.9,130.0,6,99.8,561,379.0,700.0,283.0,Lithium-Ion,CCS II,AWD,5015.0,1980.0,1780.0,Kia,EV9,9.04,24.0,350.0,SUV
Lotus Eletre,https://stimg.cardekho.com/images/carexteriorimages/630x420/Lotus/Eletre/11339/1750053058498/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,277.0,5,112.0,600,603.0,710.0,450.0,Lithium-Ion,Type 2,AWD,5103.0,2231.0,1636.0,Lotus,Eletre,7.95,31.2,244.0,SUV
Volvo EC40,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volvo/EC40/9224/1752650578336/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,59.0,5,78.0,530,402.3,660.0,402.0,Lithium-Ion,CCS II,AWD,4440.0,1873.0,1591.0,Volvo,EC40,8.0,27.0,150.0,SUV
Audi RS e-tron GT,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/RS-e-tron-GT/8607/1632310533051/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.5,195.0,5,93.0,481,636.98,830.0,475.0,Lithium-Ion,CCS II,AWD,4989.0,1964.0,1418.0,Audi,RS e-tron GT,5.25,5.0,270.0,Coupe
Lotus Emeya,https://stimg.cardekho.com/images/carexteriorimages/630x420/Lotus/Emeya/12346/1738127690041/front-left-side-47.jpg?impolicy=resize&imwidth=360,51.0,234.0,5,98.9,610,594.71,710.0,399.4,Lithium-Ion,CCS II,AWD,5139.0,2241.0,1459.0,Lotus,Emeya,5.9,26.2,220.0,Coupe
Mercedes-Benz EQB,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQB/11834/1763471553252/front-left-side-47.jpg?impolicy=resize&imwidth=360,5.0,75.55,5,70.5,535,288.32,520.0,215.0,Lithium-Ion,CCS II,AWD,4684.0,2020.0,1689.0,Mercedes-Benz,EQB,9.87,21.6,236.0,SUV
Mercedes-Benz EQE SUV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQE-SUV/9404/1763471752200/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.1,141.0,5,90.56,550,402.3,858.0,402.0,Lithium-Ion,CCS II,AWD,4863.0,2141.0,1685.0,Mercedes-Benz,EQE SUV,7.95,28.6,236.0,SUV
Pravaig DEFY,https://stimg.cardekho.com/images/carexteriorimages/630x420/Pravaig/DEFY/9444/1742559289755/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,39.5,4,90.9,500,402.0,620.0,300.0,Lithium-Ion,CCS I,AWD,4940.0,1940.0,1650.0,Pravaig,DEFY,9.94,30.0,261.0,SUV
Mercedes-Benz Maybach EQS SUV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/Maybach-EQS-SUV/9898/1763535819468/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,245.5,4,122.0,611,649.0,955.0,484.0,Lithium-Ion,CCS II,AWD,5125.0,2157.0,1721.0,Mercedes-Benz,Maybach EQS SUV,6.25,31.0,200.0,SUV
Mercedes-Benz EQS,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQS/8423/1763472088703/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,146.5,5,107.8,857,750.97,855.0,408.2,Lithium-Ion,CCS II,AWD,5216.0,2125.0,1512.0,Mercedes-Benz,EQS,5.9,25.0,220.0,SUV
Volvo EX40,https://stimg.cardekho.com/images/carexteriorimages/630x420/Volvo/EX40/11561/1752651534577/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,49.0,5,69.0,592,237.99,660.0,238.0,Lithium-Ion,CCS II,AWD,4425.0,1873.0,1651.0,Volvo,EX40,9.88,28.0,150.0,SUV
Mahindra XEV 9S,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mahindra/XEV-9S/9266/1764755872492/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.7,24.7,7,79.0,679,282.0,380.0,210.0,Lithium-Ion,CCS II,RWD,4737.0,1900.0,1747.0,Mahindra,XEV 9S,11.7,20.0,180.0,SUV
BYD eMAX 7,https://stimg.cardekho.com/images/carexteriorimages/630x420/BYD/eMAX-7/11999/1738320407490/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,28.4,7,71.8,530,201.0,310.0,150.0,Lithium-Ion,CCS II,FWD,4710.0,1810.0,1690.0,BYD,eMAX 7,8.313999999999998,25.4,188.0,MUV
Audi Q8 e-tron,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q8-e-tron/9435/1757403685467/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.2,121.0,5,106.0,582,402.3,664.0,402.0,Lithium-Ion,CCS I,FWD,4915.0,1976.0,1646.0,Audi,Q8 e-tron,12.0,30.0,266.0,SUV
BMW i5,https://stimg.cardekho.com/images/carexteriorimages/630x420/BMW/i5/10181/1762777086587/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,120.0,5,83.9,516,592.73,795.0,442.0,Lithium-Ion,CCS II,AWD,5060.0,2156.0,1505.0,BMW,i5,4.0,30.0,205.0,Sedan
Audi e-tron GT,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/e-tron-GT/8340/1757141523467/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,172.0,5,93.0,500,522.99,630.0,390.0,Lithium-Ion,CCS II,AWD,4989.0,1964.0,1418.0,Audi,e-tron GT,8.5,23.8,220.0,Coupe
Mini Cooper SE,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Cooper-SE/8669/Mini-Cooper-SE-Electric/1645696928987/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.2,53.5,4,32.6,270,181.03,270.0,135.0,Lithium-Ion,CCS II,FWD,3996.0,1727.0,1432.0,Mini,Cooper SE,2.5,36.0,50.0,Hatchback
Porsche Macan EV,https://stimg.cardekho.com/images/carexteriorimages/630x420/Porsche/Macan-EV/11867/1750224122331/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.9,145.5,5,100.0,624,608.0,1130.0,436.6,Lithium-Ion,CCS II,AWD,4784.0,1938.0,1622.0,Porsche,Macan EV,10.0,21.0,270.0,Luxury
PMV EaS E,https://stimg.cardekho.com/images/carexteriorimages/630x420/PMV/EaS-E/9441/1742617227255/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.5,4.79,2,10.0,160,13.41,50.0,43.4,Lithium-Ion,Type 2,FWD,2915.0,1157.0,1600.0,PMV,EaS E,5.1,50.0,40.6,Hatchback
Citroen eC3,https://stimg.cardekho.com/images/carexteriorimages/630x420/Citroen/eC3/9598/1759125447377/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,13.155,5,29.2,320,56.21,143.0,41.0,Lithium-Ion,CCS II,FWD,3981.0,1733.0,1604.0,Citroen,eC3,5.42,57.0,40.6,Hatchback
Strom Motors R3,https://stimg.cardekho.com/images/carexteriorimages/630x420/Strom-Motors/R3/8412/1615967980998/front-left-side-47.jpg?impolicy=resize&imwidth=360,3.7,4.5,2,30.0,200,20.11,90.0,15.0,Lithium-Ion,Type 2,RWD,2907.0,1450.0,1572.0,Strom,Motors R3,5.92,50.0,40.6,Hatchback
Mercedes-Benz EQA,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/EQA/8276/1763471333579/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,67.2,5,70.5,560,188.0,385.0,140.0,Lithium-Ion,CCS II,FWD,4463.0,1834.0,1608.0,Mercedes-Benz,EQA,8.489999999999998,35.0,142.0,SUV
Mini Countryman Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mini/Countryman-Electric/5191/1721906555943/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.8,57.425,5,66.4,462,313.0,494.0,257.0,Lithium-Ion,Type 2,FWD,4445.0,2069.0,1635.0,Mini,Countryman Electric,10.419999999999998,30.0,130.0,SUV
Porsche Cayenne Electric,https://stimg.cardekho.com/images/carexteriorimages/630x420/Porsche/Cayenne-Electric/13041/1763632824336/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,201.0,5,107.8,813,536.0,835.0,349.4,Lithium-Ion,Type 2,AWD,5122.6,2091.8,1581.8,Porsche,Cayenne Electric,5.9,25.0,220.0,Sedan
Audi Q8 Sportback e-tron,https://stimg.cardekho.com/images/carexteriorimages/630x420/Audi/Q8-Sportback-e-tron/11050/1757402926065/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.4,125.5,5,114.0,600,402.3,664.0,402.0,Lithium-Ion,CCS I,FWD,4915.0,1976.0,1632.0,Audi,Q8 Sportback e-tron,12.0,30.0,266.0,Sedan
Hyundai IONIQ 5,https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/IONIQ-5/8983/1762430808343/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.3,46.3,5,72.6,631,214.56,350.0,160.0,Lithium-Ion,CCS I,RWD,4635.0,1890.0,1625.0,Hyundai,IONIQ 5,6.92,18.0,350.0,Sportback
Mercedes-Benz AMG EQS,https://stimg.cardekho.com/images/carexteriorimages/630x420/Mercedes-Benz/AMG-EQS/11028/1763468709497/front-left-side-47.jpg?impolicy=resize&imwidth=360,4.6,245.00000000000003,5,107.8,526,751.0,1020.0,398.2,Lithium-Ion,CCS II,AWD,5223.0,2125.0,1518.0,Mercedes-Benz,AMG EQS,6.2,24.4,228.0,Sedan
